GeneName,WT_EtOH_1,WT_EtOH_2,WT_EtOH_3,WT_Dex_1,WT_Dex_2,WT_Dex_3,Brg1KD_EtOH_1,Brg1KD_EtOH_2,Brg1KD_EtOH_3,Brg1KD_Dex_1,Brg1KD_Dex_2,Brg1KD_Dex_3
KATNBL1P6,1.1,-0.2,0.1,1.0,0.2,0.2,0.4,0.5,0.5,-0.1,0.0,-0.4
KAZALD1,10.6,10.5,10.4,10.0,9.8,9.9,10.5,10.6,10.6,10.5,10.5,10.4
KAZN,6.6,7.0,7.2,6.4,6.5,6.1,7.0,6.6,6.6,6.5,6.5,6.6
KB-226F1.1,2.8,2.4,2.4,4.1,3.5,3.5,3.4,3.6,3.2,3.1,2.5,3.0
KBTBD11,5.9,6.1,5.7,6.6,6.6,6.2,5.1,4.6,4.8,5.4,5.8,5.8
KBTBD11-OT1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KBTBD12,4.0,3.6,3.7,3.9,2.6,3.7,4.0,2.6,3.6,3.7,4.0,3.5
KBTBD13,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KBTBD2,11.5,11.5,11.6,11.5,11.8,12.0,11.4,11.7,11.6,11.6,11.6,11.7
KBTBD3,8.3,7.9,8.4,8.2,8.4,8.7,8.4,8.0,8.7,7.9,8.1,8.4
KBTBD4,10.7,10.8,10.8,10.5,10.5,10.5,10.6,10.4,10.5,10.7,10.7,10.6
KBTBD6,10.5,10.5,10.5,10.3,10.5,10.6,10.0,10.0,10.1,10.1,10.1,10.1
KBTBD7,10.0,10.1,10.1,10.1,10.3,10.4,9.7,9.8,9.9,10.0,10.0,10.0
KBTBD8,6.9,7.0,7.5,6.8,7.6,8.0,6.9,7.0,6.1,6.3,6.2,6.6
KC6,5.2,4.7,4.4,4.6,4.3,5.3,5.2,3.7,4.8,4.5,4.6,4.3
KC877373.1,1.0,0.7,0.0,0.9,1.7,0.0,1.3,0.4,2.4,-0.2,0.9,0.5
KC877392.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KC877982.1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCCAT198,3.3,3.9,3.1,4.1,3.3,2.8,2.9,3.3,2.8,3.3,3.2,3.1
KCMF1,10.5,10.6,10.7,10.6,10.8,10.7,11.2,11.2,11.1,11.2,11.2,11.1
KCNA1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,0.6,0.9
KCNA10,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNA2,2.1,1.7,2.5,2.3,2.6,2.7,2.2,2.6,3.0,2.3,2.9,1.7
KCNA3,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNA4,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,0.8,-0.1,0.5
KCNA5,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNA7,4.7,4.4,4.0,4.3,4.9,4.5,5.1,4.4,4.3,4.3,4.6,3.9
KCNAB1,7.5,7.8,7.8,8.3,8.1,8.3,8.1,7.8,8.3,8.3,8.2,8.3
KCNAB1-AS1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNAB1-AS2,1.5,0.7,0.9,-0.1,1.1,0.0,1.9,0.4,0.4,-0.2,-0.1,-0.5
KCNAB2,6.5,6.3,6.0,6.5,6.7,6.0,6.1,6.5,6.4,6.1,6.3,6.3
KCNAB3,4.2,3.9,4.3,4.1,4.6,3.1,3.4,2.7,3.3,3.0,4.3,3.1
KCNB1,6.6,6.7,6.5,9.2,7.2,8.9,6.6,8.0,6.9,7.0,7.3,6.8
KCNB2,1.6,-0.3,0.0,0.9,1.6,1.7,1.3,1.3,1.4,0.8,-0.1,-0.5
KCNC1,3.8,3.9,4.1,4.1,3.1,3.1,3.8,1.6,4.0,2.1,3.2,2.0
KCNC2,2.4,1.6,2.8,2.6,2.1,2.2,1.4,1.9,0.4,0.8,-0.1,1.6
KCNC3,6.1,6.1,5.8,6.0,5.5,5.8,5.9,5.5,6.0,6.2,5.5,5.8
KCNC4,6.5,6.0,6.2,6.6,6.3,5.1,6.2,6.2,6.2,6.0,7.1,6.8
KCNC4-AS1,0.1,0.7,0.0,-0.1,0.1,0.0,1.3,0.4,0.4,2.1,0.9,0.6
KCND1,3.4,3.9,4.2,4.4,4.3,4.6,3.6,3.1,3.4,3.4,3.9,3.0
KCND2,2.6,2.3,1.2,1.8,3.9,1.8,0.3,3.0,0.4,0.6,1.2,1.8
KCND3,2.7,3.3,2.5,2.5,2.6,2.4,3.2,2.6,3.2,2.3,2.2,2.3
KCND3-AS1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCND3-IT1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNE1,4.2,4.3,3.7,3.9,3.9,3.9,4.0,3.6,4.9,4.2,4.4,4.6
KCNE1B,0.4,0.0,0.7,0.2,0.1,0.9,0.7,0.4,0.7,0.4,0.2,-0.5
KCNE2,2.2,2.2,3.4,3.7,3.1,3.8,2.8,3.5,3.7,2.7,3.1,3.8
KCNE3,3.5,2.7,2.9,3.2,3.5,3.4,3.3,2.4,3.1,3.6,3.8,2.6
KCNE4,6.5,6.4,6.4,7.4,6.9,6.7,6.9,7.3,7.0,7.6,7.6,7.8
KCNE5,0.1,-0.3,1.5,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNF1,5.1,5.2,4.5,5.1,4.4,4.9,5.6,5.6,5.5,5.6,6.1,5.6
KCNG1,6.6,6.6,6.6,10.4,10.5,10.6,7.8,7.4,7.7,8.8,9.0,9.2
KCNG2,2.7,2.8,0.8,4.7,5.1,5.0,3.1,2.3,2.8,3.0,3.5,4.0
KCNG3,5.8,5.8,5.2,5.5,5.8,5.7,4.9,4.6,4.8,5.7,5.5,5.4
KCNG4,3.4,3.9,2.9,3.2,4.2,4.1,3.6,3.3,4.3,3.9,3.8,4.3
KCNH1,6.9,6.6,7.1,9.2,9.4,9.4,6.3,6.2,6.9,8.2,8.4,8.3
KCNH1-IT1,3.2,3.3,2.4,3.9,5.1,4.9,0.3,1.9,2.0,3.5,3.1,3.6
KCNH2,6.5,6.3,6.3,7.7,7.4,7.0,5.8,6.0,5.5,6.9,6.8,6.3
KCNH3,6.9,6.6,7.2,7.0,5.0,5.7,5.9,5.4,6.0,5.8,5.2,5.1
KCNH4,1.0,1.9,0.0,0.9,2.1,1.1,0.3,1.9,1.4,-0.2,0.9,-0.5
KCNH5,8.5,8.5,8.5,8.4,8.5,8.7,8.4,8.3,8.8,8.7,8.8,8.6
KCNH6,2.9,3.3,2.6,3.5,3.0,3.7,3.6,3.9,2.6,2.9,3.8,1.9
KCNH7,4.5,4.4,4.4,2.7,2.8,2.8,3.8,2.6,4.4,4.1,2.9,3.8
KCNH8,5.1,5.9,5.9,4.9,6.2,5.9,4.9,6.0,4.8,6.4,5.5,4.9
KCNIP1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNIP2,5.2,5.6,5.9,5.2,4.9,5.9,5.7,5.3,5.6,4.3,5.5,4.9
KCNIP2-AS1,3.5,4.2,4.1,4.0,3.5,4.4,4.1,3.9,4.6,4.2,4.4,4.2
KCNIP3,5.8,5.6,5.5,5.2,5.1,4.7,5.1,5.1,5.0,4.8,5.4,5.0
KCNIP4,6.2,6.1,6.5,6.3,6.6,6.8,6.1,6.0,6.6,6.3,6.7,6.1
KCNIP4-IT1,5.2,4.8,5.4,5.2,5.4,4.9,4.7,5.5,6.0,5.0,5.3,5.4
KCNJ1,2.6,2.6,2.8,1.5,0.1,0.0,0.3,0.4,0.4,1.8,0.8,0.6
KCNJ10,4.0,2.9,4.2,3.6,3.9,3.2,4.0,3.3,4.3,3.6,4.1,3.7
KCNJ11,7.1,7.5,7.9,10.6,10.6,10.9,8.6,8.1,8.1,10.9,10.9,10.7
KCNJ12,0.9,1.0,1.4,-0.1,0.2,0.0,0.5,0.4,1.8,-0.1,0.9,1.7
KCNJ13,4.9,5.2,5.0,5.5,5.3,5.6,5.0,5.7,5.7,5.8,5.7,5.9
KCNJ14,5.8,5.5,5.9,6.1,5.4,5.4,5.6,5.4,5.5,5.5,5.2,5.7
KCNJ15,6.3,5.9,6.1,6.5,6.4,6.6,5.8,6.0,6.2,5.7,5.8,5.6
KCNJ16,3.5,3.2,3.7,3.3,3.8,2.9,3.1,2.7,3.7,4.2,3.2,3.1
KCNJ2,2.0,3.3,2.5,3.7,2.1,3.5,2.6,3.1,3.7,2.8,2.9,2.2
KCNJ2-AS1,1.0,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,0.8,-0.1,-0.5
KCNJ3,6.6,5.8,5.7,5.6,5.3,5.7,4.9,5.3,5.4,5.6,5.2,5.9
KCNJ4,0.1,-0.3,0.0,2.6,2.1,3.1,0.3,0.4,0.4,0.8,1.5,1.1
KCNJ5,3.6,4.1,3.9,4.1,4.0,3.4,4.1,4.2,4.2,4.1,4.5,4.6
KCNJ6,6.0,5.8,5.4,5.9,5.4,5.8,5.5,5.3,6.1,5.8,5.8,5.6
KCNJ6-AS1,0.1,-0.3,0.0,-0.1,0.1,1.7,0.3,0.4,0.4,-0.2,-0.1,-0.5
KCNJ8,2.5,3.7,3.9,0.8,1.6,1.0,2.7,3.3,2.6,1.7,-0.1,3.1
KCNJ9,2.0,2.6,2.7,1.9,1.1,1.1,1.3,1.3,2.0,1.8,0.9,-0.5
KCNK1,8.7,8.7,8.7,10.1,10.2,10.2,8.4,8.6,8.6,9.6,9.6,9.8
